Prod_ID,Prod_Cat,User_ID,User_Province,Event,Clicks,Wishlist
KVuR3hHNmtAJqzTTm6ft,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
KYocFZce0YtJpZ1EIZNL,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
KZeRIuuowLFY7MVp7hfs,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
KquIX3I9Ba7DlARD4mN8,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
LB2nCpPjTXaFp29n1oK9,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
LDoSaNQtRbto4XXG8lB2,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
LEc75HxGkTjmEtohIyXJ,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
LZo94gxCvTbGtaj0gbQ9,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
LxXOqbRi1eZXa3ZbvRKC,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
M2QOrhWjzZrKe55NGH5x,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
M4O1FqqIVFH0zY7xgpSg,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
M4au4PIV4RCWllno2mvW,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
MFdNRp6YeWFWGoXvzMbc,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
MJ9r7ksxWrEI3t90evMl,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
MRDLlVVQNPY3qxushlBf,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
MRU6CMGVCggdzsG4CXMy,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
MULk4jMxkDKwlEz1dWHx,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
MmQFQQpByfoee6gScpkr,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
MteYA0hr9MjQtvw8Faa6,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Mu6MZQJNnpzQR3wqmOtL,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
MzMVsXcnx96Yuv0sQShH,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
N0yFQpxUqQ8wqoPnydqz,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
NHYhotmZ9fzrGCdMyyj0,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
NHcKYL4YChTYh38TndN0,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
NOF2jd1AgWT19BpooZYo,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Nau0T1kRlYFDRYHNDmNU,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
NnbNj0YdGbnV26EMEYMT,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
